"","Site","Environment","n_container","n","prop"
"1","Kisumu","Household",1,81,0.5625
"2","Kisumu","Household",2,45,0.3125
"3","Kisumu","Household",3,12,0.0833333333333333
"4","Kisumu","Household",4,3,0.0208333333333333
"5","Kisumu","Household",5,1,0.00694444444444444
"6","Kisumu","Household",11,1,0.00694444444444444
"7","Kisumu","Household",12,1,0.00694444444444444
"8","Kisumu","Non-Household",1,66,0.404907975460123
"9","Kisumu","Non-Household",2,33,0.202453987730061
"10","Kisumu","Non-Household",3,26,0.159509202453988
"11","Kisumu","Non-Household",4,13,0.0797546012269939
"12","Kisumu","Non-Household",5,8,0.049079754601227
"13","Kisumu","Non-Household",6,5,0.0306748466257669
"14","Kisumu","Non-Household",7,2,0.0122699386503067
"15","Kisumu","Non-Household",8,5,0.0306748466257669
"16","Kisumu","Non-Household",9,2,0.0122699386503067
"17","Kisumu","Non-Household",10,2,0.0122699386503067
"18","Kisumu","Non-Household",11,1,0.00613496932515337
"19","Ukunda","Household",1,34,0.548387096774194
"20","Ukunda","Household",2,17,0.274193548387097
"21","Ukunda","Household",3,9,0.145161290322581
"22","Ukunda","Household",4,2,0.032258064516129
"23","Ukunda","Non-Household",1,13,0.65
"24","Ukunda","Non-Household",2,3,0.15
"25","Ukunda","Non-Household",3,2,0.1
"26","Ukunda","Non-Household",4,1,0.05
"27","Ukunda","Non-Household",5,1,0.05
